regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,53.248,65.663,52.864,-0.0309
pure,2,1,0.5,4.0,0,0,256,1024,640,93.183,113.374,94.078,0.0443
pure,2,1,0.5,4.0,0,0,512,2048,1280,127.711,166.975,116.797,-0.278
pure,2,1,0.5,4.0,0,0,1024,4096,2560,193.82,276.988,183.872,-0.1196
pure,2,1,0.5,4.0,0,0,2048,8192,5120,323.102,478.748,315.935,-0.046
pure,2,1,0.5,4.0,0,0,4096,16384,10240,575.835,886.872,574.138,-0.0055
mixed,2,1,0.5,4.0,16,0,128,512,320,92.288,111.969,91.645,-0.0327
mixed,2,1,0.5,4.0,16,0,256,1024,640,113.408,136.992,114.752,0.057
mixed,2,1,0.5,4.0,16,0,512,2048,1280,147.872,191.614,138.399,-0.2166
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,216.48,298.813,205.598,-0.1322
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,343.263,496.893,336.73,-0.0425
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,599.357,901.976,596.413,-0.0097
mixed,2,1,0.5,4.0,16,512,128,512,320,141.469,160.094,141.343,-0.0068
mixed,2,1,0.5,4.0,16,512,256,1024,640,161.761,184.863,163.328,0.0678
mixed,2,1,0.5,4.0,16,512,512,2048,1280,200.092,240.16,194.111,-0.1493
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,268.635,348.48,257.661,-0.1374
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,399.548,554.779,390.877,-0.0559
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,655.164,956.856,644.09,-0.0367
mixed,2,1,0.5,4.0,16,1024,128,512,320,165.246,186.687,164.766,-0.0224
mixed,2,1,0.5,4.0,16,1024,256,1024,640,188.542,207.841,188.064,-0.0248
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,226.974,267.967,215.776,-0.2732
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,291.134,368.702,283.615,-0.0969
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,422.75,574.649,415.166,-0.0499
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,680.348,981.976,671.837,-0.0282
