pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0463,1
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0624,2
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0485,2
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.4122,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.4874,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.4104,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.504,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.5929,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.4966,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.9486,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.582,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.9507,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.932,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.443,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.9127,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,-0.0136,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.0237,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,-0.1485,2
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.3208,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.3188,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.3176,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.2875,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.2613,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.2991,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.2999,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.4652,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.2883,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.4335,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.5452,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.5299,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.9469,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.9271,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.928,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.0942,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.3434,2
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.0874,2
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.0895,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.0546,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,0.0393,2
0,n<=4,sr>70%,kvB<=16k,kp=0,-0.0613,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.0663,2
0,n<=4,sr>70%,kvB<=4k,kp=0,-0.1819,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.1373,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.1509,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.1358,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,0.0743,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.1233,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.1382,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.1428,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.1393,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.1403,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,0.156,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,0.1898,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,0.1597,2
0,n<=64,sr>70%,kvB<=16k,kp=0,0.1614,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.3766,4
0,n<=64,sr>70%,kvB<=4k,kp=0,0.1682,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.214,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.0809,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.2043,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0374,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.1295,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0769,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,0.1071,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.5557,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.1122,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.9025,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.3529,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.9035,4
16,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.3986,4
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.3993,4
16,n<=16,sr<=15%,kvB<=16k,kp<=4k,0.3994,4
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.3985,4
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,0.3994,4
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.3834,4
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.4176,4
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.4176,4
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.4179,4
16,n<=16,sr<=15%,kvB<=1k,kp<=512,0.4089,4
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.4179,4
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.4284,4
16,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.4009,4
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,0.4003,4
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.3982,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.3967,4
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.401,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.406,4
16,n<=16,sr<=40%,kvB<=16k,kp<=1k,0.5042,4
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.5083,4
16,n<=16,sr<=40%,kvB<=16k,kp<=4k,0.5076,4
16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.506,4
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,0.5057,4
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.5076,4
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.4736,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.4646,4
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.4813,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.4834,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.4601,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.4731,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.4943,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.4946,4
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.4957,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.4982,4
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.4975,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.4943,4
16,n<=16,sr<=70%,kvB<=16k,kp<=1k,0.9443,2
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,0.9451,2
16,n<=16,sr<=70%,kvB<=16k,kp<=4k,0.9537,2
16,n<=16,sr<=70%,kvB<=16k,kp<=512,0.9452,2
16,n<=16,sr<=70%,kvB<=16k,kp<=8k,0.9508,2
16,n<=16,sr<=70%,kvB<=16k,kp=0,0.9473,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.8826,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,0.8947,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.8974,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.8892,2
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.8981,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.8955,2
