prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,9.04533
0,0,1,32,11.4243
0,0,1,64,13.7923
0,0,1,128,19.4347
0,0,1,256,19.5517
0,0,1,512,19.9787
0,0,1,1024,21.173
0,0,1,2048,23.7127
0,0,1,4096,34.304
0,0,1,8192,52.6923
0,0,1,16384,88.266
0,0,2,16,10.303
0,0,2,32,12.7363
0,0,2,64,15.36
0,0,2,128,21.3013
0,0,2,256,21.5247
0,0,2,512,22.7413
0,0,2,1024,29.7167
0,0,2,2048,33.9413
0,0,2,4096,52.244
0,0,2,8192,87.497
0,0,2,16384,152.586
0,0,4,16,10.4003
0,0,4,32,12.9283
0,0,4,64,15.6693
0,0,4,128,21.9197
0,0,4,256,22.8373
0,0,4,512,29.77
0,0,4,1024,36.949
0,0,4,2048,55.221
0,0,4,4096,90.4527
0,0,4,8192,159.059
0,0,4,16384,293.809
0,0,8,16,10.656
0,0,8,32,13.4077
0,0,8,64,16.3943
0,0,8,128,23.4347
0,0,8,256,30.1113
0,0,8,512,37.781
0,0,8,1024,55.7
0,0,8,2048,91.3263
0,0,8,4096,158.558
0,0,8,8192,295.858
0,0,8,16384,563.961
0,0,16,16,11.318
0,0,16,32,14.6027
0,0,16,64,17.8123
0,0,16,128,31.3387
0,0,16,256,38.218
0,0,16,512,55.7117
0,0,16,1024,88.97
0,0,16,2048,156.489
0,0,16,4096,293.425
0,0,16,8192,562.169
0,0,16,16384,1106.24
0,0,32,16,14.6133
0,0,32,32,20.2773
0,0,32,64,25.322
0,0,32,128,34.7517
0,0,32,256,52.128
0,0,32,512,87.6893
0,0,32,1024,155.081
0,0,32,2048,290.579
0,0,32,4096,561.582
0,0,32,8192,1101.78
0,0,32,16384,2180.65
0,0,64,16,21.4923
0,0,64,32,31.0083
0,0,64,64,41.002
0,0,64,128,57.8973
0,0,64,256,90.7827
0,0,64,512,157.46
0,0,64,1024,287.485
0,0,64,2048,548.804
0,0,64,4096,1072.69
0,0,64,8192,2118.49
0,0,64,16384,4206.83
0,0,128,16,34.9753
0,0,128,32,52.106
0,0,128,64,69.2157
0,0,128,128,103.85
0,0,128,256,169.203
0,0,128,512,298.716
0,0,128,1024,555.972
0,0,128,2048,1071.22
0,0,128,4096,2106.07
0,0,128,8192,4174.94
0,0,128,16384,8314.82
0,0,256,16,62.1967
0,0,256,32,94.1857
0,0,256,64,126.686
0,0,256,128,194.088
0,0,256,256,321.34
0,0,256,512,576.175
0,0,256,1024,1083.66
0,0,256,2048,2105.46
0,0,256,4096,4142.6
0,0,256,8192,8233.31
16,0,0,0,10.656
16,0,1,16,17.3227
16,0,1,32,19.765
16,0,1,64,22.293
16,0,1,128,28.6077
16,0,1,256,28.7463
16,0,1,512,29.1413
16,0,1,1024,30.4743
16,0,1,2048,32.597
16,0,1,4096,42.826
16,0,1,8192,60.9903
16,0,1,16384,95.914
16,0,2,16,17.216
16,0,2,32,19.787
16,0,2,64,22.3463
16,0,2,128,28.7243
16,0,2,256,29.002
16,0,2,512,30.0903
16,0,2,1024,37.2053
16,0,2,2048,41.654
16,0,2,4096,60.063
16,0,2,8192,95.9453
16,0,2,16384,159.87
16,0,4,16,17.29
16,0,4,32,19.808
16,0,4,64,22.667
16,0,4,128,29.258
16,0,4,256,30.3033
16,0,4,512,37.504
16,0,4,1024,44.437
16,0,4,2048,62.857
16,0,4,4096,97.129
16,0,4,8192,167.379
16,0,4,16384,303.185
16,0,8,16,17.685
16,0,8,32,20.4587
16,0,8,64,23.2427
16,0,8,128,30.4103
16,0,8,256,37.429
16,0,8,512,45.0013
16,0,8,1024,63.2317
16,0,8,2048,97.9723
16,0,8,4096,167.923
16,0,8,8192,300.156
16,0,8,16384,571.214
16,0,16,16,18.3143
16,0,16,32,21.6327
16,0,16,64,25.0243
16,0,16,128,38.6453
16,0,16,256,45.92
16,0,16,512,63.178
16,0,16,1024,96.309
16,0,16,2048,164.126
16,0,16,4096,301.266
16,0,16,8192,569.402
16,0,16,16384,1108.85
16,0,32,16,21.461
16,0,32,32,27.349
16,0,32,64,32.235
16,0,32,128,42.0903
16,0,32,256,59.4653
16,0,32,512,94.6873
16,0,32,1024,163.156
16,0,32,2048,298.716
16,0,32,4096,568.57
16,0,32,8192,1106.93
16,0,32,16384,2187.53
16,0,64,16,30.304
16,0,64,32,40.2023
16,0,64,64,49.9087
16,0,64,128,66.57
16,0,64,256,100.063
16,0,64,512,165.694
16,0,64,1024,296.477
16,0,64,2048,557.839
16,0,64,4096,1081.68
16,0,64,8192,2126.83
16,0,64,16384,4219.41
16,0,128,16,43.9887
16,0,128,32,60.9697
16,0,128,64,78.5167
16,0,128,128,112.276
16,0,128,256,178.687
16,0,128,512,307.879
