layer,tokens,time_us
act_fn,1,3.851
act_fn,2,4.34133
act_fn,3,4.31967
act_fn,4,4.44833
act_fn,5,4.50133
act_fn,6,4.384
act_fn,7,4.43733
act_fn,8,4.405
act_fn,9,4.416
act_fn,10,4.384
act_fn,11,4.416
act_fn,12,4.47967
act_fn,13,4.43733
act_fn,14,4.62967
act_fn,15,4.608
act_fn,16,4.59733
act_fn,20,4.448
act_fn,24,4.37333
act_fn,28,4.36233
act_fn,32,4.42667
act_fn,36,4.405
act_fn,40,4.49033
act_fn,44,4.56533
act_fn,48,4.56533
act_fn,52,4.52267
act_fn,56,4.69367
act_fn,60,4.757
act_fn,64,4.90667
act_fn,80,7.84
act_fn,96,8.49067
act_fn,112,9.14067
act_fn,128,9.94133
act_fn,144,12.1063
act_fn,160,13.2583
act_fn,176,14.2187
act_fn,192,15.338
act_fn,208,16.7573
act_fn,224,18.3677
act_fn,240,19.7117
act_fn,256,21.1517
act_fn,272,21.6207
act_fn,288,23.0397
act_fn,304,24.4903
act_fn,320,26.0157
act_fn,336,27.093
act_fn,352,28.5753
act_fn,368,29.9623
act_fn,384,31.328
act_fn,400,31.37
act_fn,416,32.5437
act_fn,432,34.229
act_fn,448,36.1167
act_fn,464,36.7997
act_fn,480,38.4743
act_fn,496,40.341
act_fn,512,41.6847
act_fn,528,40.6283
act_fn,544,42.0693
act_fn,560,42.9963
act_fn,576,44.789
act_fn,592,48.1697
act_fn,608,49.7803
act_fn,624,49.589
act_fn,640,51.082
act_fn,656,54.9537
act_fn,672,56.1167
act_fn,688,57.354
act_fn,704,58.783
act_fn,720,59.9997
act_fn,736,62.6763
act_fn,752,62.3883
act_fn,768,63.2417
act_fn,784,63.7537
act_fn,800,65.0977
act_fn,816,66.5697
act_fn,832,67.7217
act_fn,848,69.5883
act_fn,864,70.7083
act_fn,880,72.426
act_fn,896,73.0657
act_fn,912,75.3057
act_fn,928,75.338
act_fn,944,75.8923
act_fn,960,77.8227
act_fn,976,78.8683
act_fn,992,79.8177
act_fn,1008,81.087
act_fn,1024,82.6333
act_fn,1040,79.8503
act_fn,1056,81.5883
act_fn,1072,83.583
act_fn,1088,85.3853
act_fn,1104,87.4763
act_fn,1120,88.7667
act_fn,1136,90.4097
act_fn,1152,92.372
act_fn,1168,91.6467
act_fn,1184,92.8947
act_fn,1200,96.5323
act_fn,1216,95.4013
act_fn,1232,96.7563
act_fn,1248,97.9397
act_fn,1264,99.5723
act_fn,1280,100.692
act_fn,1296,101.641
act_fn,1312,102.089
act_fn,1328,103.764
act_fn,1344,107.455
act_fn,1360,106.463
act_fn,1376,107.252
act_fn,1392,108.585
act_fn,1408,110.036
act_fn,1424,114.238
act_fn,1440,115.274
act_fn,1456,116.777
act_fn,1472,118.079
act_fn,1488,119.391
act_fn,1504,120.212
act_fn,1520,121.545
act_fn,1536,122.793
act_fn,1552,119.978
act_fn,1568,122.399
act_fn,1584,124.787
act_fn,1600,126.665
act_fn,1616,128.554
act_fn,1632,129.94
act_fn,1648,131.262
act_fn,1664,132.819
act_fn,1680,132.244
act_fn,1696,133.513
act_fn,1712,135.102
act_fn,1728,136.532
act_fn,1744,141.15
act_fn,1760,141.15
act_fn,1776,140.606
act_fn,1792,142.291
act_fn,1808,141.95
act_fn,1824,143.273
act_fn,1840,144.627
act_fn,1856,146.046
act_fn,1872,147.337
act_fn,1888,148.244
act_fn,1904,149.502
act_fn,1920,151.187
act_fn,1936,150.825
act_fn,1952,151.955
act_fn,1968,152.915
act_fn,1984,153.993
act_fn,2000,154.942
act_fn,2016,156.585
act_fn,2032,158.003
act_fn,2048,159.55
down_proj,1,108.393
down_proj,2,120.424
down_proj,3,121.118
down_proj,4,122.494
down_proj,5,122.569
down_proj,6,122.665
down_proj,7,123.369
down_proj,8,123.433
down_proj,9,124.244
down_proj,10,124.884
down_proj,11,125.428
down_proj,12,125.523
down_proj,13,128.052
down_proj,14,127.55
down_proj,15,128.115
down_proj,16,129.363
down_proj,20,184.019
down_proj,24,184.36
down_proj,28,185.096
down_proj,32,188.552
down_proj,36,191.465
down_proj,40,185.416
down_proj,44,187.539
down_proj,48,189.075
down_proj,52,189.63
down_proj,56,192.915
down_proj,60,193.064
down_proj,64,193.886
down_proj,80,194.355
down_proj,96,194.461
down_proj,112,194.921
down_proj,128,195.165
down_proj,144,361.233
down_proj,160,361.638
down_proj,176,362.555
down_proj,192,362.587
down_proj,208,369.83
down_proj,224,370.555
down_proj,240,371.121
down_proj,256,371.185
down_proj,272,542.489
down_proj,288,543.096
down_proj,304,544.601
down_proj,320,544.057
down_proj,336,521.711
down_proj,352,521.679
down_proj,368,522.446
down_proj,384,522.543
down_proj,400,709.335
down_proj,416,708.812
down_proj,432,709.559
down_proj,448,710.296
down_proj,464,710.05
down_proj,480,709.665
down_proj,496,710.284
down_proj,512,710.209
down_proj,528,939.871
down_proj,544,940.841
down_proj,560,940.904
down_proj,576,939.892
down_proj,592,941.919
down_proj,608,942.25
down_proj,624,944.372
down_proj,640,943.913
down_proj,656,1170.36
down_proj,672,1170.36
down_proj,688,1032.3
down_proj,704,1032.16
down_proj,720,1032.41
down_proj,736,1032.31
down_proj,752,1032.78
