layer,sequences,time_us
lm_head,1,898.272
lm_head,2,906.144
lm_head,3,908.863
lm_head,4,909.599
lm_head,5,916.788
lm_head,6,913.759
lm_head,7,915.113
lm_head,8,916.671
lm_head,9,917.568
lm_head,10,918.9
lm_head,11,963.327
lm_head,12,959.251
lm_head,13,960.212
lm_head,14,960.414
lm_head,15,962.868
lm_head,16,963.444
lm_head,20,963.273
lm_head,24,966.313
lm_head,28,974.889
lm_head,32,972.766
lm_head,36,966.346
lm_head,40,968.468
lm_head,44,969.641
lm_head,48,988.575
lm_head,52,988.606
lm_head,56,993.545
lm_head,60,999.518
lm_head,64,1002.76
lm_head,80,1581.05
lm_head,96,1584.55
lm_head,112,1589.41
lm_head,128,1594.35
lm_head,144,3127.46
lm_head,160,2420.88
lm_head,176,2423.9
lm_head,192,2426.5
lm_head,208,3146.89
lm_head,224,3147.59
lm_head,240,3148.85
lm_head,256,3151.5
sampler,1,35.2103
sampler,2,36.7567
sampler,3,38.57
sampler,4,38.8583
sampler,5,40.8743
sampler,6,41.2587
sampler,7,54.5697
sampler,8,55.232
sampler,9,65.8347
sampler,10,66.5277
sampler,11,69.5137
sampler,12,70.57
sampler,13,72.426
sampler,14,74.1443
sampler,15,77.0873
sampler,16,78.933
sampler,20,87.1033
sampler,24,94.453
sampler,28,100.671
sampler,32,107.477
sampler,36,114.879
sampler,40,122.645
sampler,44,131.796
sampler,48,140.149
sampler,52,149.172
sampler,56,158.837
sampler,60,171.274
sampler,64,177.567
sampler,80,226.41
sampler,96,258.281
sampler,112,296.596
sampler,128,336.094
sampler,144,404.99
sampler,160,431.379
sampler,176,464.392
sampler,192,494.868
sampler,208,541.501
sampler,224,578.696
sampler,240,616.296
sampler,256,654.941
