prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,9.109
0,0,1,32,11.4877
0,0,1,64,13.952
0,0,1,128,19.797
0,0,1,256,20.032
0,0,1,512,20.651
0,0,1,1024,29.1417
0,0,2,16,10.2827
0,0,2,32,12.704
0,0,2,64,15.4787
0,0,2,128,21.9313
0,0,2,256,22.7733
0,0,2,512,30.0163
0,0,2,1024,36.672
0,0,4,16,10.6453
0,0,4,32,13.2587
0,0,4,64,16.4053
0,0,4,128,23.435
0,0,4,256,29.931
0,0,4,512,37.451
0,0,4,1024,55.2117
0,0,8,16,11.1467
0,0,8,32,14.4217
0,0,8,64,17.728
0,0,8,128,31.189
0,0,8,256,37.8023
0,0,8,512,55.883
0,0,8,1024,89.3557
0,0,16,16,14.3043
0,0,16,32,19.9993
0,0,16,64,24.9817
0,0,16,128,34.5493
0,0,16,256,51.4553
0,0,16,512,86.5707
0,0,16,1024,153.046
0,0,32,16,21.109
0,0,32,32,30.826
0,0,32,64,40.928
0,0,32,128,58.305
0,0,32,256,90.625
0,0,32,512,156.513
0,0,32,1024,288.545
0,0,64,16,32.6507
0,0,64,32,49.8883
0,0,64,64,67.6487
0,0,64,128,102.379
0,0,64,256,166.913
0,0,64,512,299.179
0,0,64,1024,557.017
0,0,128,16,57.696
0,0,128,32,89.302
0,0,128,64,120.78
0,0,128,128,188.673
0,0,128,256,315.65
0,0,128,512,572.078
0,0,128,1024,1081.36
0,0,256,16,106.347
0,0,256,32,166.316
0,0,256,64,228.343
0,0,256,128,362.061
0,0,256,256,601.614
0,0,256,512,1098.21
0,0,256,1024,2084.04
16,0,0,0,10.8803
16,0,1,16,17.3443
16,0,1,32,19.7443
16,0,1,64,22.368
16,0,1,128,29.1093
16,0,1,256,29.2053
16,0,1,512,30.1877
16,0,1,1024,37.077
16,0,2,16,17.365
16,0,2,32,19.8727
16,0,2,64,22.4103
16,0,2,128,29.3337
16,0,2,256,30.2723
16,0,2,512,37.217
16,0,2,1024,44.5437
16,0,4,16,17.643
16,0,4,32,20.3097
16,0,4,64,23.275
16,0,4,128,30.795
16,0,4,256,37.205
16,0,4,512,45.0987
16,0,4,1024,63.1793
16,0,8,16,18.3897
16,0,8,32,21.451
16,0,8,64,24.5553
16,0,8,128,38.6777
16,0,8,256,45.8667
16,0,8,512,64.406
16,0,8,1024,97.4937
16,0,16,16,21.6953
16,0,16,32,27.3923
16,0,16,64,32.2883
16,0,16,128,42.0483
16,0,16,256,59.755
16,0,16,512,93.4293
16,0,16,1024,160.673
16,0,32,16,28.139
16,0,32,32,38.1013
16,0,32,64,48.4383
16,0,32,128,66.5493
16,0,32,256,99.19
16,0,32,512,164.94
16,0,32,1024,296.748
16,0,64,16,41.6213
16,0,64,32,58.8057
16,0,64,64,77.718
16,0,64,128,111.81
16,0,64,256,176.492
16,0,64,512,307.852
16,0,64,1024,565.518
16,0,128,16,66.3473
16,0,128,32,98.0697
16,0,128,64,130.006
16,0,128,128,198.22
16,0,128,256,325.868
16,0,128,512,582.126
16,0,128,1024,1090.57
16,16,0,0,11.04
16,16,1,16,17.6327
16,16,1,32,20.054
16,16,1,64,22.624
16,16,1,128,29.1723
16,16,1,256,29.6857
16,16,1,512,30.2517
16,16,1,1024,36.6833
16,16,2,16,17.5147
16,16,2,32,20.139
16,16,2,64,22.688
16,16,2,128,29.568
16,16,2,256,30.6887
16,16,2,512,37.5993
16,16,2,1024,45.2807
16,16,4,16,17.984
16,16,4,32,20.683
16,16,4,64,23.531
16,16,4,128,30.8693
16,16,4,256,37.749
16,16,4,512,45.717
16,16,4,1024,63.6373
16,16,8,16,18.5927
16,16,8,32,21.6643
16,16,8,64,24.7243
16,16,8,128,38.6777
16,16,8,256,46.4643
16,16,8,512,63.626
16,16,8,1024,97.7287
16,16,16,16,21.8667
16,16,16,32,27.6587
16,16,16,64,32.5977
16,16,16,128,42.4213
