layer,tokens,time_us
act_fn,1,5.78167
act_fn,2,6.50667
act_fn,3,6.52833
act_fn,4,6.57067
act_fn,5,6.58133
act_fn,6,6.69867
act_fn,7,6.56
act_fn,8,6.688
act_fn,9,6.73067
act_fn,10,6.82667
act_fn,11,6.76267
act_fn,12,6.73067
act_fn,13,6.58133
act_fn,14,6.646
act_fn,15,6.67733
act_fn,16,6.66667
act_fn,20,6.56
act_fn,24,6.76267
act_fn,28,6.85867
act_fn,32,6.944
act_fn,36,7.136
act_fn,40,7.31733
act_fn,44,7.42433
act_fn,48,7.52033
act_fn,52,7.75467
act_fn,56,7.904
act_fn,60,8.35233
act_fn,64,8.64
act_fn,80,13.5573
act_fn,96,15.328
act_fn,112,17.5893
act_fn,128,20.96
act_fn,144,25.3553
act_fn,160,26.923
act_fn,176,29.0133
act_fn,192,32.0747
act_fn,208,35.3813
act_fn,224,37.2373
act_fn,240,38.7097
act_fn,256,41.7073
act_fn,272,44.9493
act_fn,288,49.0567
act_fn,304,50.624
act_fn,320,52.6087
act_fn,336,55.275
act_fn,352,59.4993
act_fn,368,61.1637
act_fn,384,62.7843
act_fn,400,64.3527
act_fn,416,68.704
act_fn,432,70.3047
act_fn,448,72.3523
act_fn,464,74.4963
act_fn,480,78.3367
act_fn,496,80.6193
act_fn,512,82.923
act_fn,528,81.377
act_fn,544,84.8007
act_fn,560,87.8513
act_fn,576,89.6963
act_fn,592,92.0753
act_fn,608,94.8913
act_fn,624,98.977
act_fn,640,101.067
act_fn,656,106.07
act_fn,672,107.691
act_fn,688,110.55
act_fn,704,114.731
act_fn,720,115.542
act_fn,736,117.505
act_fn,752,121.356
act_fn,768,123.947
act_fn,784,127.105
act_fn,800,126.838
act_fn,816,129.046
act_fn,832,132.544
act_fn,848,134.677
act_fn,864,137.59
act_fn,880,139.521
act_fn,896,142.305
act_fn,912,142.454
act_fn,928,144.15
act_fn,944,146.763
act_fn,960,150.145
act_fn,976,152.182
act_fn,992,154.934
act_fn,1008,156.854
act_fn,1024,163.478
act_fn,1040,161.441
act_fn,1056,164.214
act_fn,1072,168.087
act_fn,1088,171.34
act_fn,1104,174.252
act_fn,1120,177.58
act_fn,1136,179.777
act_fn,1152,181.964
act_fn,1168,182.977
act_fn,1184,185.217
act_fn,1200,187.905
act_fn,1216,190.401
act_fn,1232,193.996
act_fn,1248,195.926
act_fn,1264,198.284
act_fn,1280,201.324
act_fn,1296,200.982
act_fn,1312,203.606
act_fn,1328,206.134
act_fn,1344,208.321
act_fn,1360,214.646
act_fn,1376,215.383
act_fn,1392,216.172
act_fn,1408,218.54
act_fn,1424,223.863
act_fn,1440,226.22
act_fn,1456,229.036
act_fn,1472,231.895
act_fn,1488,234.167
act_fn,1504,241.761
act_fn,1520,239.671
act_fn,1536,242.369
act_fn,1552,240.684
act_fn,1568,243.447
act_fn,1584,245.196
act_fn,1600,248.577
act_fn,1616,251.553
act_fn,1632,254.785
act_fn,1648,257.367
act_fn,1664,261.314
act_fn,1680,262.817
act_fn,1696,263.895
act_fn,1712,265.772
act_fn,1728,268.801
act_fn,1744,270.946
act_fn,1760,274.103
act_fn,1776,275.532
act_fn,1792,278.679
act_fn,1808,282.988
act_fn,1824,290.978
act_fn,1840,288.834
act_fn,1856,290.466
act_fn,1872,293.474
act_fn,1888,296.289
act_fn,1904,298.626
act_fn,1920,301.687
act_fn,1936,302.402
act_fn,1952,304.685
act_fn,1968,308.535
act_fn,1984,309.377
act_fn,2000,312.183
act_fn,2016,318.242
act_fn,2032,317.079
down_proj,1,211.361
down_proj,2,232.598
down_proj,3,233.43
down_proj,4,234.508
down_proj,5,234.807
down_proj,6,237.409
down_proj,7,236.225
down_proj,8,237.441
down_proj,9,237.004
down_proj,10,241.261
down_proj,11,241.878
down_proj,12,238.625
down_proj,13,239.575
down_proj,14,240.353
down_proj,15,243.905
down_proj,16,246.007
down_proj,20,384.333
