layer,sequences,time_us
lm_head,1,1794.21
lm_head,2,1815.93
lm_head,3,1817.24
lm_head,4,1822.74
lm_head,5,1828.94
lm_head,6,1827.84
lm_head,7,1833.13
lm_head,8,1832.36
lm_head,9,1835.63
lm_head,10,1839.8
lm_head,11,1847.41
lm_head,12,1848.37
lm_head,13,1847.37
lm_head,14,1879.3
lm_head,15,1882.98
lm_head,16,1912.29
lm_head,20,1877.36
lm_head,24,1905.94
lm_head,28,1946.89
lm_head,32,1916.32
lm_head,36,1942.28
lm_head,40,1962.37
lm_head,44,1946.32
lm_head,48,1965.7
lm_head,52,1968.11
lm_head,56,1958.23
lm_head,60,1965.95
lm_head,64,1983.36
lm_head,80,3146.4
lm_head,96,3149.29
lm_head,112,3153.8
lm_head,128,3158.84
lm_head,144,4636.03
lm_head,160,4636.57
lm_head,176,4643.84
lm_head,192,4645.37
lm_head,208,5898.88
lm_head,224,5900.54
lm_head,240,5901.95
lm_head,256,5906.23
sampler,1,44.1067
sampler,2,46.112
sampler,3,48.4377
sampler,4,48.63
sampler,5,50.9867
sampler,6,51.3387
sampler,7,54.6773
sampler,8,57.2377
sampler,9,65.11
sampler,10,66.5177
sampler,11,69.185
sampler,12,70.6457
sampler,13,72.5237
sampler,14,74.582
sampler,15,76.1393
sampler,16,78.678
sampler,20,87.287
sampler,24,93.3013
sampler,28,100.374
sampler,32,107.349
sampler,36,115.328
sampler,40,122.924
sampler,44,130.284
sampler,48,139.382
sampler,52,151.927
sampler,56,157.697
sampler,60,167.873
sampler,64,177.281
sampler,80,221.335
sampler,96,258.337
sampler,112,298.337
sampler,128,336.93
sampler,144,405.699
sampler,160,434.146
sampler,176,463.224
sampler,192,496.621
sampler,208,545.102
sampler,224,580.164
sampler,240,618.105
sampler,256,658.819
