regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,70.369,90.143,69.279,-0.0551
pure,2,1,0.5,4.0,0,0,256,1024,640,90.848,110.176,93.343,0.1291
mixed,2,1,0.5,4.0,16,0,128,512,320,92.319,111.455,91.872,-0.0234
mixed,2,1,0.5,4.0,16,0,256,1024,640,113.41,133.536,115.327,0.0952
mixed,2,1,0.5,4.0,16,512,128,512,320,140.673,158.786,139.902,-0.0426
mixed,2,1,0.5,4.0,16,512,256,1024,640,161.924,184.93,162.943,0.0443
mixed,2,1,0.5,4.0,16,1024,128,512,320,162.369,184.64,163.68,0.0589
mixed,2,1,0.5,4.0,16,1024,256,1024,640,184.992,208.928,186.497,0.0629
mixed,2,1,0.5,4.0,32,0,128,512,320,127.586,146.879,127.458,-0.0066
mixed,2,1,0.5,4.0,32,0,256,1024,640,150.05,171.744,152.382,0.1075
mixed,2,1,0.5,4.0,32,512,128,512,320,183.681,200.609,182.434,-0.0737
mixed,2,1,0.5,4.0,32,512,256,1024,640,203.2,227.584,204.19,0.0406
mixed,2,1,0.5,4.0,32,1024,128,512,320,247.457,266.593,245.535,-0.1004
mixed,2,1,0.5,4.0,32,1024,256,1024,640,269.343,291.808,269.086,-0.0114
mixed,2,1,0.5,4.0,64,0,128,512,320,128.577,149.729,128.257,-0.0151
mixed,2,1,0.5,4.0,64,0,256,1024,640,150.593,173.663,151.744,0.0499
mixed,2,1,0.5,4.0,64,512,128,512,320,262.401,284.544,262.016,-0.0174
mixed,2,1,0.5,4.0,64,512,256,1024,640,285.631,307.457,287.425,0.0822
mixed,2,1,0.5,4.0,64,1024,128,512,320,345.858,362.689,345.441,-0.0248
mixed,2,1,0.5,4.0,64,1024,256,1024,640,365.504,387.393,365.857,0.0161
mixed,2,1,0.5,4.0,128,0,128,512,320,151.203,172.256,150.4,-0.0381
mixed,2,1,0.5,4.0,128,0,256,1024,640,173.344,198.177,174.656,0.0528
mixed,2,1,0.5,4.0,128,512,128,512,320,394.785,413.473,395.809,0.0548
mixed,2,1,0.5,4.0,128,512,256,1024,640,413.569,436.002,413.539,-0.0013
mixed,2,1,0.5,4.0,128,1024,128,512,320,492.577,508.833,495.619,0.1871
mixed,2,1,0.5,4.0,128,1024,256,1024,640,512.352,536.833,513.217,0.0353
mixed,2,1,0.5,4.0,256,0,128,512,320,446.656,467.297,446.466,-0.0092
mixed,2,1,0.5,4.0,256,0,256,1024,640,469.056,490.469,468.959,-0.0045
mixed,2,1,0.5,4.0,256,512,128,512,320,647.615,664.705,646.785,-0.0486
mixed,2,1,0.5,4.0,256,512,256,1024,640,671.073,692.451,668.037,-0.142
mixed,2,1,0.5,4.0,256,1024,128,512,320,845.824,866.143,846.37,0.0269
mixed,2,1,0.5,4.0,256,1024,256,1024,640,867.681,887.202,868.385,0.0361
mixed,2,1,0.5,4.0,512,0,128,512,320,527.524,543.235,526.243,-0.0815
mixed,2,1,0.5,4.0,512,0,256,1024,640,547.743,570.592,547.809,0.0029
mixed,2,1,0.5,4.0,512,512,128,512,320,943.266,959.011,941.733,-0.0974
mixed,2,1,0.5,4.0,512,512,256,1024,640,961.443,983.746,963.232,0.0802
mixed,2,1,0.5,4.0,512,1024,128,512,320,1336.418,1352.386,1335.524,-0.056
mixed,2,1,0.5,4.0,512,1024,256,1024,640,1357.796,1379.588,1355.746,-0.0941
mixed,2,1,0.5,4.0,1024,0,128,512,320,1320.324,1335.076,1317.44,-0.1955
mixed,2,1,0.5,4.0,1024,0,256,1024,640,1337.316,1360.58,1337.607,0.0125
mixed,2,1,0.5,4.0,1024,512,128,512,320,2168.005,2186.054,2168.999,0.0551
mixed,2,1,0.5,4.0,1024,512,256,1024,640,2189.414,2212.933,2187.304,-0.0897
pure,4,1,0.25,4.0,0,0,128,512,224,73.793,113.281,90.111,0.4132
pure,4,1,0.25,4.0,0,0,256,1024,448,100.288,166.909,110.337,0.1508
mixed,4,1,0.25,4.0,16,0,128,512,224,95.009,135.745,111.584,0.4069
mixed,4,1,0.25,4.0,16,0,256,1024,448,120.803,188.544,132.546,0.1734
mixed,4,1,0.25,4.0,16,512,128,512,224,144.194,187.233,159.296,0.3509
mixed,4,1,0.25,4.0,16,512,256,1024,448,173.408,242.144,180.353,0.101
mixed,4,1,0.25,4.0,16,1024,128,512,224,166.848,212.063,182.783,0.3524
mixed,4,1,0.25,4.0,16,1024,256,1024,448,195.489,263.97,203.968,0.1238
mixed,4,1,0.25,4.0,32,0,128,512,224,131.105,172.738,148.673,0.422
mixed,4,1,0.25,4.0,32,0,256,1024,448,159.97,228.738,168.449,0.1233
mixed,4,1,0.25,4.0,32,512,128,512,224,187.041,231.776,201.633,0.3262
mixed,4,1,0.25,4.0,32,512,256,1024,448,216.128,285.76,224.258,0.1168
mixed,4,1,0.25,4.0,32,1024,128,512,224,251.393,296.191,266.785,0.3436
mixed,4,1,0.25,4.0,32,1024,256,1024,448,279.392,350.786,287.585,0.1148
mixed,4,1,0.25,4.0,64,0,128,512,224,132.896,174.206,149.761,0.4083
mixed,4,1,0.25,4.0,64,0,256,1024,448,161.76,232.228,169.76,0.1135
mixed,4,1,0.25,4.0,64,512,128,512,224,268.672,310.402,282.465,0.3305
mixed,4,1,0.25,4.0,64,512,256,1024,448,297.6,365.761,305.539,0.1165
mixed,4,1,0.25,4.0,64,1024,128,512,224,350.977,389.281,362.4,0.2982
mixed,4,1,0.25,4.0,64,1024,256,1024,448,377.409,443.809,384.93,0.1133
mixed,4,1,0.25,4.0,128,0,128,512,224,155.744,199.487,171.584,0.3621
mixed,4,1,0.25,4.0,128,0,256,1024,448,185.824,255.395,193.984,0.1173
mixed,4,1,0.25,4.0,128,512,128,512,224,400.769,438.465,414.72,0.3701
mixed,4,1,0.25,4.0,128,512,256,1024,448,425.794,496.035,432.129,0.0902
mixed,4,1,0.25,4.0,128,1024,128,512,224,496.32,539.554,509.602,0.3072
mixed,4,1,0.25,4.0,128,1024,256,1024,448,525.76,593.475,532.994,0.1068
mixed,4,1,0.25,4.0,256,0,128,512,224,453.92,492.896,463.968,0.2578
mixed,4,1,0.25,4.0,256,0,256,1024,448,480.193,545.473,487.773,0.1161
mixed,4,1,0.25,4.0,256,512,128,512,224,653.568,696.577,665.249,0.2716
mixed,4,1,0.25,4.0,256,512,256,1024,448,679.778,744.677,689.634,0.1519
mixed,4,1,0.25,4.0,256,1024,128,512,224,850.884,894.562,864.001,0.3003
mixed,4,1,0.25,4.0,256,1024,256,1024,448,879.459,947.747,886.337,0.1007
mixed,4,1,0.25,4.0,512,0,128,512,224,530.336,573.696,544.898,0.3358
mixed,4,1,0.25,4.0,512,0,256,1024,448,558.433,626.849,567.072,0.1263
mixed,4,1,0.25,4.0,512,512,128,512,224,948.482,992.642,962.594,0.3196
mixed,4,1,0.25,4.0,512,512,256,1024,448,976.832,1044.833,984.485,0.1125
mixed,4,1,0.25,4.0,512,1024,128,512,224,1340.163,1379.81,1355.042,0.3753
mixed,4,1,0.25,4.0,512,1024,256,1024,448,1367.075,1433.958,1371.94,0.0727
mixed,4,1,0.25,4.0,1024,0,128,512,224,1320.869,1362.563,1337.061,0.3884
mixed,4,1,0.25,4.0,1024,0,256,1024,448,1355.014,1422.018,1355.558,0.0081
mixed,4,1,0.25,4.0,1024,512,128,512,224,2172.998,2216.038,2185.478,0.29
mixed,4,1,0.25,4.0,1024,512,256,1024,448,2197.063,2273.702,2209.063,0.1566
pure,4,2,0.5,4.0,0,0,128,512,320,92.704,111.361,94.208,0.0806
pure,4,2,0.5,4.0,0,0,256,1024,640,127.712,165.665,125.825,-0.0497
mixed,4,2,0.5,4.0,16,0,128,512,320,114.495,136.512,115.904,0.064
mixed,4,2,0.5,4.0,16,0,256,1024,640,150.113,189.73,147.905,-0.0557
mixed,4,2,0.5,4.0,16,512,128,512,320,163.203,188.928,164.577,0.0534
