pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0434,4
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0346,2
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0526,8
0,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0156,2
0,n<=128,sr>70%,kvB<=1k,kp=0,-0.0615,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.4297,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.4836,4
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.9337,2
0,n<=16,sr>70%,kvB<=1k,kp=0,0.8959,4
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.0349,2
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0109,4
0,n<=256,sr<=40%,kvB<=1k,kp=0,-0.0063,2
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0112,8
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.018,2
0,n<=256,sr>70%,kvB<=1k,kp=0,0.014,4
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.2912,6
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.2893,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.3311,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.5255,2
0,n<=32,sr>70%,kvB<=1k,kp=0,0.8609,4
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.1448,4
0,n<=4,sr<=70%,kvB<=1k,kp=0,-0.0244,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.0732,2
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.1688,4
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.1294,2
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.1498,6
0,n<=64,sr<=70%,kvB<=1k,kp=0,0.1504,2
0,n<=64,sr>70%,kvB<=1k,kp=0,0.2165,4
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.1621,2
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.0418,4
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.0251,2
0,n<=8,sr>70%,kvB<=1k,kp=0,0.785,4
